"","region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
"1699","2","ROASTED GROUNDNUTS","834","NO. 10 PLATE HEAPED","","6B",0.090000004,"1"
"1700","1","ROASTED GROUNDNUTS","834","NO. 12 PLATE HEAPED","","7B",0.209999993,"1"
"1701","2","ROASTED GROUNDNUTS","834","NO. 12 PLATE HEAPED","","7B",0.198750004,"1"
"1702","1","POPCORN","835","PACKET UNSPECIFIED","","51",0.059,"3"
"1703","2","POPCORN","835","PACKET UNSPECIFIED","","51",0.050000001,"3"
"1704","3","POPCORN","835","PACKET UNSPECIFIED","","51",0.050000001,"3"
"1705","1","ZIKONDAMOYO  NKATE","836","PIECE","","9",0.216000006,"1"
"1706","2","ZIKONDAMOYO  NKATE","836","PIECE","","9",0.155000001,"1"
"1707","3","ZIKONDAMOYO  NKATE","836","PIECE","","9",0.150000006,"1"
"1708","2","KALONGONDA (MUCUNA)","837","OTHER (SPECIFY)","CUP","84",0.289999992,"4"
"1709","3","KALONGONDA (MUCUNA)","837","OTHER (SPECIFY)","CUP","84",0.289999992,"4"
"1710","2","KALONGONDA MUCUNA","837","NO. 10 PLATE ","","6",0.155000001,"1"
"1711","3","KALONGONDA MUCUNA","837","NO. 10 PLATE ","","6",0.238000005,"1"
"1712","1","KALONGONDA MUCUNA","837","NO. 12 PLATE ","","7",0.425999999,"1"
"1713","2","KALONGONDA MUCUNA","837","NO. 12 PLATE ","","7",0.239999995,"1"
"1714","3","KALONGONDA MUCUNA","837","NO. 12 PLATE ","","7",0.256999999,"1"
"1715","1","CASSAVA  ROASTED VENDOR","838","PIECE","","9",0.046,"1"
"1716","2","CASSAVA  ROASTED VENDOR","838","PIECE","","9",0.037500001,"1"
"1717","3","CASSAVA  ROASTED VENDOR","838","PIECE","","9",0.044,"1"
"1718","1","FREEZES (FLAVOURED ICE)","906","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1719","2","FREEZES (FLAVOURED ICE)","906","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1720","3","FREEZES (FLAVOURED ICE)","906","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1721","2","MAHEU","910","OTHER (SPECIFY)","PIECE","85",0.129999995,"1"
"1722","2","BOTTLED/CANNED BEER (CARLSBERG, ETC)","911","KILOGRAM","","1",1,"5"
"1723","2","THOBWA","912","PAIL","","92",5,"5"
"1724","3","THOBWA","912","PAIL","","92",5,"5"
"1725","1","SUNDRIED FISH LARGE VARIETY","5021","HEAP SMALL","","10A",0.083999999,"1"
"1726","2","SUNDRIED FISH LARGE VARIETY","5021","HEAP SMALL","","10A",0.086000003,"1"
"1727","1","SUNDRIED FISH LARGE VARIETY","5021","HEAP MEDIUM","","10B",0.410863638,"1"
"1728","2","SUNDRIED FISH LARGE VARIETY","5021","HEAP MEDIUM","","10B",0.171272725,"1"
"1729","1","SUNDRIED FISH LARGE VARIETY","5021","HEAP LARGE","","10C",0.555000007,"1"
"1730","1","SUNDRIED FISH LARGE VARIETY","5021","PIECE SMALL","","9A",0.054000001,"1"
"1731","2","SUNDRIED FISH LARGE VARIETY","5021","PIECE SMALL","","9A",0.050499998,"1"
"1732","3","SUNDRIED FISH LARGE VARIETY","5021","PIECE SMALL","","9A",0.126000002,"1"
"1733","2","SUNDRIED FISH LARGE VARIETY","5021","PIECE MEDIUM","","9B",0.090000004,"1"
"1734","3","SUNDRIED FISH LARGE VARIETY","5021","PIECE MEDIUM","","9B",0.156000003,"1"
"1735","2","SUNDRIED FISH LARGE VARIETY","5021","PIECE LARGE","","9C",0.125,"1"
"1736","3","SUNDRIED FISH LARGE VARIETY","5021","PIECE LARGE","","9C",0.189999998,"1"
"1737","1","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP SMALL","","10A",0.052000001,"1"
"1738","2","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP SMALL","","10A",0.035499997,"1"
"1739","3","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP SMALL","","10A",0.055,"1"
"1740","1","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP MEDIUM","","10B",0.088,"1"
"1741","2","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP MEDIUM","","10B",0.059999999,"1"
"1742","3","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP MEDIUM","","10B",0.101999998,"1"
"1743","1","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP LARGE","","10C",0.159999996,"1"
"1744","2","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP LARGE","","10C",0.090000004,"1"
"1745","3","SUNDRIED FISH MEDIUM VARIETY","5022","HEAP LARGE","","10C",0.155000001,"1"
"1746","1","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE SMALL","","9A",0.02,"1"
"1747","2","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE SMALL","","9A",0.006,"1"
"1748","3","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE SMALL","","9A",0.006,"1"
"1749","1","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE MEDIUM","","9B",0.032000002,"1"
"1750","2","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE MEDIUM","","9B",0.011,"1"
"1751","3","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE MEDIUM","","9B",0.01,"1"
"1752","1","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE LARGE","","9C",0.042999998,"1"
"1753","2","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE LARGE","","9C",0.019499999,"1"
"1754","3","SUNDRIED FISH MEDIUM VARIETY","5022","PIECE LARGE","","9C",0.014,"1"
"1755","1","SUNDRIED FISH SMALL VARIETY","5023","HEAP SMALL","","10A",0.056000002,"1"
"1756","2","SUNDRIED FISH SMALL VARIETY","5023","HEAP SMALL","","10A",0.041999999,"1"
"1757","3","SUNDRIED FISH SMALL VARIETY","5023","HEAP SMALL","","10A",0.052000001,"1"
"1758","1","SUNDRIED FISH SMALL VARIETY","5023","HEAP MEDIUM","","10B",0.096000001,"1"
"1759","2","SUNDRIED FISH SMALL VARIETY","5023","HEAP MEDIUM","","10B",0.072249994,"1"
"1760","3","SUNDRIED FISH SMALL VARIETY","5023","HEAP MEDIUM","","10B",0.101999998,"1"
"1761","1","SUNDRIED FISH SMALL VARIETY","5023","HEAP LARGE","","10C",0.186000004,"1"
"1762","2","SUNDRIED FISH SMALL VARIETY","5023","HEAP LARGE","","10C",0.114,"1"
"1763","3","SUNDRIED FISH SMALL VARIETY","5023","HEAP LARGE","","10C",0.145999998,"1"
"1764","1","SUN DRIED FISH (SMALL VARIETY)","5023","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1765","2","SUN DRIED FISH (SMALL VARIETY)","5023","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1766","3","SUN DRIED FISH (SMALL VARIETY)","5023","OTHER (SPECIFY)","PIECE","85",0.129999995,"4"
"1767","1","SUN DRIED FISH (SMALL VARIETY)","5023","5L BUCKET ","","86",0.159,"5"
"1768","3","SUN DRIED FISH (SMALL VARIETY)","5023","5L BUCKET ","","86",0.118,"5"
